id,text,created_at,lang,retweet_count,reply_count,like_count,cleaned_text,sentiment,sentiment_score,date
1912944991334482314,"RT @RCBTweets: Long way to go but take a moment to appreciate this 𝗲𝘅𝗰𝗲𝗹𝗹𝗲𝗻𝘁 𝗲𝗰𝗼𝗻𝗼𝗺𝘆!🔝👌

#PlayBold #ನಮ್ಮRCB #IPL2025 https://t.co/d97hpuXAlO",2025-04-17 19:03:21+00:00,en,351,0,0,RT Long way to go but take a moment to appreciate this 𝗲𝘅𝗰𝗲𝗹𝗹𝗲𝗻𝘁 𝗲𝗰𝗼𝗻𝗼𝗺𝘆 PlayBold ನಮಮRCB IPL2025,Positive,0.3886733949184418,2025-04-17
1912944975257780379,As always after losing starting matches #MI have started winning again. #MIvSRH #IPL2025,2025-04-17 19:03:17+00:00,en,0,0,0,As always after losing starting matches MI have started winning again MIvSRH IPL2025,Positive,0.7048255801200867,2025-04-17
1912944947705307163,RT @faizan8487: Mumbai Indians Thrilling Win! MI Defeats SRH by 4 Wickets! Keeps Playoff Hopes Alive #TheFaiziCricketShow #IPL2025 #MIvSRH…,2025-04-17 19:03:10+00:00,en,1,0,0,RT Mumbai Indians Thrilling Win MI Defeats SRH by 4 Wickets Keeps Playoff Hopes Alive TheFaiziCricketShow IPL2025 MIvSRH,Positive,0.6674169898033142,2025-04-17
1912944912578023712,Mumbai Indians Thrilling Win! MI Defeats SRH by 4 Wickets! Keeps Playoff Hopes Alive #TheFaiziCricketShow #IPL2025 #MIvSRH #RohitSharma #HardikPandya https://t.co/gCNLyVKnWd,2025-04-17 19:03:02+00:00,en,1,0,0,Mumbai Indians Thrilling Win MI Defeats SRH by 4 Wickets Keeps Playoff Hopes Alive TheFaiziCricketShow IPL2025 MIvSRH RohitSharma HardikPandya,Positive,0.6799387335777283,2025-04-17
1912944901568033092,"RT @Cricketracker: Virat Kohli ✅
MS Dhoni✅
Rohit Sharma✅

The three icons received a special memento for completing 18 years in the Indian…",2025-04-17 19:02:59+00:00,en,259,0,0,RT Virat Kohli MS Dhoni Rohit Sharma The three icons received a special memento for completing 18 years in the Indian,Positive,0.35926738381385803,2025-04-17
1912944837722247273,"RT @IPL: Match 33. WICKET!  3.5: Rohit Sharma 26(16) ct Travis Head b Pat Cummins, Mumbai Indians 32/1 https://t.co/8baZ67Y5A2 #MIvSRH #TAT…",2025-04-17 19:02:44+00:00,en,5,0,0,RT Match 33 WICKET 35 Rohit Sharma 2616 ct Travis Head b Pat Cummins Mumbai Indians 321 MIvSRH TAT,Negative,0.2277023196220398,2025-04-17
1912944782826991704,"Mahi Again For The Toss After 684 days, Giving Respect To wickets is an old Tradition 💛

#msdhoni #dhoni #csk #ipl2025 #ipl2025 https://t.co/jlW1KUoVZ1",2025-04-17 19:02:31+00:00,en,0,0,0,Mahi Again For The Toss After 684 days Giving Respect To wickets is an old Tradition msdhoni dhoni csk ipl2025 ipl2025,Positive,0.3621130585670471,2025-04-17
1912944755736232263,"RT @IPL: Match 33. 4.5: Mohammad Shami to Will Jacks 4 runs, Mumbai Indians 39/1 https://t.co/8baZ67Y5A2 #MIvSRH #TATAIPL #IPL2025",2025-04-17 19:02:25+00:00,en,4,0,0,RT Match 33 45 Mohammad Shami to Will Jacks 4 runs Mumbai Indians 391 MIvSRH TATAIPL IPL2025,Negative,0.3671960234642029,2025-04-17
1912944744315142487,"RT @IPL: Match 33. 5.2: Eshan Malinga to Ryan Rickelton 4 runs, Mumbai Indians 45/1 https://t.co/8baZ67Y5A2 #MIvSRH #TATAIPL #IPL2025",2025-04-17 19:02:22+00:00,tl,3,0,0,RT Match 33 52 Eshan Malinga to Ryan Rickelton 4 runs Mumbai Indians 451 MIvSRH TATAIPL IPL2025,Negative,0.356840044260025,2025-04-17
1912944735691612174,"RT @Akshithhhh4518: The Clash of Mental NaKodukulu🔥🔥🔥
@mipaltan, asalaina mental na kodukulu evaro chupinchalsina time ochhindi. 
#MIvsSRH…",2025-04-17 19:02:20+00:00,tl,64,0,0,RT The Clash of Mental NaKodukulu asalaina mental na kodukulu evaro chupinchalsina time ochhindi MIvsSRH,Negative,0.32729682326316833,2025-04-17
